Subject_number,participant,OS,frameRate,trialNumber,Pair_type,Pass,Image_num,Patch_1_loc,Patch_2_loc,Patch_1_info,Patch_2_info,Patch_1_name,Patch_2_name,similarity,response_time
1,31515,Win32,54.74352658,66,1,1,131,5,5,1,2283,present_patch/cong_131_3_a.jpg,absent_patch/patch0002283.jpg,4,1.0578
1,31515,Win32,54.74352658,67,0,1,131,5,5,2367,2175,absent_patch/patch0002367.jpg,absent_patch/patch0002175.jpg,6,1.5371
1,31515,Win32,54.74352658,68,0,1,131,5,5,2151,2175,absent_patch/patch0002151.jpg,absent_patch/patch0002175.jpg,5,2.6236
1,31515,Win32,54.74352658,69,0,1,131,5,5,2211,2163,absent_patch/patch0002211.jpg,absent_patch/patch0002163.jpg,6,1.6182
1,31515,Win32,54.74352658,70,0,1,131,5,5,2223,2211,absent_patch/patch0002223.jpg,absent_patch/patch0002211.jpg,3,2.6479
1,31515,Win32,54.74352658,71,0,1,131,5,5,2175,2223,absent_patch/patch0002175.jpg,absent_patch/patch0002223.jpg,2,1.3058
1,31515,Win32,54.74352658,72,0,1,131,5,5,2043,1995,absent_patch/patch0002043.jpg,absent_patch/patch0001995.jpg,4,9.6662
1,31515,Win32,54.74352658,73,0,1,131,5,5,2211,2079,absent_patch/patch0002211.jpg,absent_patch/patch0002079.jpg,2,1.4544
1,31515,Win32,54.74352658,74,0,1,131,5,5,1995,2163,absent_patch/patch0001995.jpg,absent_patch/patch0002163.jpg,3,1.8884
1,31515,Win32,54.74352658,75,0,1,131,5,5,2271,2271,absent_patch/patch0002271.jpg,absent_patch/patch0002271.jpg,0,1.3159
1,31515,Win32,54.74352658,76,1,1,131,5,5,2223,1,absent_patch/patch0002223.jpg,present_patch/cong_131_3_a.jpg,2,1.0442
1,31515,Win32,54.74352658,77,0,1,131,5,5,2223,2367,absent_patch/patch0002223.jpg,absent_patch/patch0002367.jpg,5,2.1033
1,31515,Win32,54.74352658,78,0,1,131,5,5,1995,2175,absent_patch/patch0001995.jpg,absent_patch/patch0002175.jpg,5,1.2522
1,31515,Win32,54.74352658,79,0,1,131,5,5,2031,2079,absent_patch/patch0002031.jpg,absent_patch/patch0002079.jpg,7,1.3207
1,31515,Win32,54.74352658,80,0,1,131,5,5,1995,2211,absent_patch/patch0001995.jpg,absent_patch/patch0002211.jpg,5,2.2503
